Avis,Ordre,Description,Poste technique,Désignation du poste technique,Poste travail princ.,Divis. planification,Groupe gestionnaires,Statut système,Statut utilisateur,Type de travail,Type d'avis,Priorité,Texte de la priorité,Type de priorité,Auteur de l'avis,Créé par,Créé le,Créé à,Date de l'avis,Heure de l'avis,Modifié par,Date de modification,Heure modification,Début souhaité,Heure début souhaitée,Date de la clôture,Heure de clôture,Zone de tri,Centre de coûts,Pompe
13152739,4002285776.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP01B-CRSV-924VT671,VIBRATION DE POMPE IP01B,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:45,2026-07-10 00:00:00,14:40:45,,,00:00:00,2026-10-19 00:00:00,00:00:00,,00:00:00,S-PC-924 VT 671 AE,SF01PEAUMR,1
12515300,4001660315.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2026-04-13,14:45:13,2026-04-13 00:00:00,14:45:13,BENMOUSSA1,2026-08-27 00:00:00,17:23:10,2026-08-27 00:00:00,17:23:10,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
13434273,4002532352.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-08-19,08:03:35,2026-08-19 00:00:00,08:03:35,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
11555012,4000704622.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2025-11-17,08:58:29,2025-11-17 00:00:00,08:58:29,BENMOUSSA1,2026-08-11 00:00:00,17:54:47,2026-08-11 00:00:00,17:54:47,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
13152425,4002285356.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:32,2026-07-10 00:00:00,14:40:32,,,00:00:00,2026-10-19 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
12153467,4001291696.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2026-02-23,09:21:15,2026-02-23 00:00:00,09:21:15,BENMOUSSA1,2026-08-13 00:00:00,09:38:37,2026-08-13 00:00:00,09:38:37,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
12807696,4001952603.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:01,2026-05-25 00:00:00,09:52:01,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
13152436,4002285367.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:33,2026-07-10 00:00:00,14:40:33,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
13152588,4002285576.0,préventif (1 an) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:39,2026-07-10 00:00:00,14:40:39,,,00:00:00,2027-07-19 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
11739990,4000023778.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,LABIBI,2025-12-18,10:21:58,2025-12-18 00:00:00,10:21:57,,,00:00:00,2025-11-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
